"Year","Table","County","Birth Weight in Grams","Number of Live Births"
"2022","11a","Rensselaer","3500+","541"
"2022","11a","Rensselaer","Unknown","3"
"2022","11a","Rest of State","Unknown","429"
"2022","11a","Rest of State","Total","114,718"
"2022","11a","Rest of State","Under 1000","646"
"2022","11a","Rest of State","1000-1499","809"
"2022","11a","Rest of State","1500-1999","1,821"
"2022","11a","Rest of State","2000-2499","6,028"
"2022","11a","Rest of State","2500-2999","21,284"
"2022","11a","Rest of State","3000-3499","43,895"
"2022","11a","Rest of State","3500+","39,806"
"2022","11a","Richmond","3500+","1,445"
"2022","11a","Richmond","Unknown","0"
"2022","11a","Richmond","3000-3499","2,014"
"2022","11a","Richmond","2500-2999","1,026"
"2022","11a","Richmond","2000-2499","284"
"2022","11a","Richmond","1500-1999","74"
"2022","11a","Richmond","1000-1499","32"
"2022","11a","Richmond","Under 1000","33"
"2022","11a","Richmond","Total","4,908"
"2022","11a","Rockland","Unknown","14"
"2022","11a","Rockland","3500+","2,463"
"2022","11a","Rockland","Total","6,389"
"2022","11a","Rockland","Under 1000","11"
"2022","11a","Rockland","1000-1499","17"
"2022","11a","Rockland","1500-1999","65"
"2022","11a","Rockland","2000-2499","266"
"2022","11a","Rockland","2500-2999","1,046"
"2022","11a","Rockland","3000-3499","2,507"
"2022","11a","Saratoga","3500+","866"
"2022","11a","Saratoga","Total","2,082"
"2022","11a","Saratoga","Under 1000","5"
"2022","11a","Saratoga","1000-1499","13"
"2022","11a","Saratoga","1500-1999","25"
"2022","11a","Saratoga","2000-2499","88"
"2022","11a","Saratoga","2500-2999","336"
"2022","11a","Saratoga","3000-3499","742"
"2022","11a","Saratoga","Unknown","7"
"2022","11a","Schenectady","Unknown","1"
"2022","11a","Schenectady","Total","1,662"
"2022","11a","Schenectady","Under 1000","10"
"2022","11a","Schenectady","1000-1499","15"
"2022","11a","Schenectady","1500-1999","25"
"2022","11a","Schenectady","2000-2499","114"
"2022","11a","Schenectady","2500-2999","328"
"2022","11a","Schenectady","3000-3499","605"
"2022","11a","Schenectady","3500+","564"
"2022","11a","Schoharie","Total","253"
"2022","11a","Schoharie","Unknown","1"
"2022","11a","Schoharie","3500+","110"
"2022","11a","Schoharie","3000-3499","96"
"2022","11a","Schoharie","2500-2999","38"
"2022","11a","Schoharie","2000-2499","5"
"2022","11a","Schoharie","1500-1999","1"
"2022","11a","Schoharie","1000-1499","2"
"2022","11a","Schoharie","Under 1000","0"
"2022","11a","Schuyler","Under 1000","0"
"2022","11a","Schuyler","Total","139"
"2022","11a","Schuyler","Unknown","0"
"2022","11a","Schuyler","3500+","61"
"2022","11a","Schuyler","3000-3499","48"
"2022","11a","Schuyler","2500-2999","21"
"2022","11a","Schuyler","2000-2499","3"
"2022","11a","Schuyler","1500-1999","5"
"2022","11a","Schuyler","1000-1499","1"
"2022","11a","Seneca","Unknown","2"
"2022","11a","Seneca","Total","291"
"2022","11a","Seneca","Under 1000","1"
"2022","11a","Seneca","1000-1499","1"
"2022","11a","Seneca","1500-1999","1"
"2022","11a","Seneca","2000-2499","11"
"2022","11a","Seneca","2500-2999","52"
"2022","11a","Seneca","3000-3499","103"
"2022","11a","Seneca","3500+","120"
"2022","11a","Steuben","1000-1499","11"
"2022","11a","Steuben","Unknown","3"
"2022","11a","Steuben","3500+","357"
"2022","11a","Steuben","3000-3499","400"
"2022","11a","Steuben","2500-2999","167"
"2022","11a","Steuben","2000-2499","38"
"2022","11a","Steuben","1500-1999","8"
"2022","11a","Steuben","Under 1000","4"
"2022","11a","Steuben","Total","988"
"2022","11a","St Lawrence","Total","905"
"2022","11a","St Lawrence","Under 1000","1"
"2022","11a","St Lawrence","1000-1499","5"
"2022","11a","St Lawrence","1500-1999","15"
"2022","11a","St Lawrence","2000-2499","38"
"2022","11a","St Lawrence","2500-2999","142"
"2022","11a","St Lawrence","3000-3499","300"
"2022","11a","St Lawrence","3500+","359"
"2022","11a","St Lawrence","Unknown","45"
"2022","11a","Suffolk","3500+","5,284"
"2022","11a","Suffolk","Total","16,104"
"2022","11a","Suffolk","Under 1000","73"
"2022","11a","Suffolk","1000-1499","93"
"2022","11a","Suffolk","1500-1999","271"
"2022","11a","Suffolk","2000-2499","873"
"2022","11a","Suffolk","2500-2999","3,121"
"2022","11a","Suffolk","3000-3499","6,385"
"2022","11a","Suffolk","Unknown","4"
"2022","11a","Sullivan","3500+","310"
"2022","11a","Sullivan","Total","974"
"2022","11a","Sullivan","Under 1000","3"
"2022","11a","Sullivan","1000-1499","5"
"2022","11a","Sullivan","1500-1999","13"
"2022","11a","Sullivan","2000-2499","64"
"2022","11a","Sullivan","2500-2999","215"
"2022","11a","Sullivan","3000-3499","363"
"2022","11a","Sullivan","Unknown","1"
"2022","11a","Tioga","3500+","181"
"2022","11a","Tioga","Total","491"
"2022","11a","Tioga","Under 1000","2"
"2022","11a","Tioga","1000-1499","2"
"2022","11a","Tioga","1500-1999","4"
"2022","11a","Tioga","2000-2499","22"
"2022","11a","Tioga","2500-2999","86"
"2022","11a","Tioga","3000-3499","189"
"2022","11a","Tioga","Unknown","5"
"2022","11a","Tompkins","1500-1999","17"
"2022","11a","Tompkins","Total","638"
"2022","11a","Tompkins","Under 1000","3"
"2022","11a","Tompkins","1000-1499","4"
"2022","11a","Tompkins","2000-2499","32"
"2022","11a","Tompkins","2500-2999","96"
"2022","11a","Tompkins","3000-3499","262"
"2022","11a","Tompkins","3500+","224"
"2022","11a","Tompkins","Unknown","0"
"2022","11a","Ulster","Unknown","1"
"2022","11a","Ulster","Total","1,540"
"2022","11a","Ulster","Under 1000","9"
"2022","11a","Ulster","1000-1499","12"
"2022","11a","Ulster","1500-1999","20"
"2022","11a","Ulster","2000-2499","90"
"2022","11a","Ulster","2500-2999","296"
"2022","11a","Ulster","3000-3499","587"
"2022","11a","Ulster","3500+","525"
"2022","11a","Warren","3500+","218"
"2022","11a","Warren","Total","537"
"2022","11a","Warren","Under 1000","4"
"2022","11a","Warren","1000-1499","7"
"2022","11a","Warren","1500-1999","10"
"2022","11a","Warren","2000-2499","24"
"2022","11a","Warren","2500-2999","84"
"2022","11a","Warren","3000-3499","189"
"2022","11a","Warren","Unknown","1"
"2022","11a","Washington","3500+","211"
"2022","11a","Washington","Total","533"
"2022","11a","Washington","Under 1000","3"
"2022","11a","Washington","1000-1499","8"
"2022","11a","Washington","1500-1999","11"
"2022","11a","Washington","2000-2499","23"
"2022","11a","Washington","2500-2999","83"
"2022","11a","Washington","3000-3499","191"
"2022","11a","Washington","Unknown","3"
"2022","11a","Wayne","3000-3499","297"
"2022","11a","Wayne","Total","842"
"2022","11a","Wayne","Under 1000","4"
"2022","11a","Wayne","1000-1499","8"
"2022","11a","Wayne","Unknown","3"
"2022","11a","Wayne","1500-1999","15"
"2022","11a","Wayne","2000-2499","36"
"2022","11a","Wayne","2500-2999","135"
"2022","11a","Wayne","3500+","344"
"2022","11a","Westchester","1500-1999","144"
"2022","11a","Westchester","Total","9,913"
"2022","11a","Westchester","Under 1000","70"
"2022","11a","Westchester","1000-1499","71"
"2022","11a","Westchester","2000-2499","482"
"2022","11a","Westchester","2500-2999","1,952"
"2022","11a","Westchester","3000-3499","3,978"
"2022","11a","Westchester","3500+","3,215"
"2022","11a","Westchester","Unknown","1"
"2022","11a","Wyoming","Unknown","1"
"2022","11a","Wyoming","Total","342"
